,Progress,Finished,Q25,Q25_4_TEXT,Memberships ,Are You ,Q30,Q30_16_TEXT,Indy,public email,public email at work,Memberships ,Q26,Someoneelse ,Signin2 ,Signin2 _3_TEXT,Q32,Added,Admin ,Access,Instructions,Lost Envelopes,Wrong Inbox,Prefer 
             Source,Progress,Finished,Which email address do you use to login to DocuSign? ,Which email address do you use to login into DocuSign? (Text),Are you a part of multiple DocuSign accounts tied to the same email address?,Do you have Administrative Privileges for any DocuSign accounts?,What industry do you work in?,What industry do you work in? (Text),Do you own your own business or work independently (eg. freelance or individual consultant)?,Do you use a public email (eg. me@gmail.com) address as your work email?,Is the public email address you use at work a personal email address (ie. one that you might use outside of work)?,How many DocuSign accounts are you a member of (include both personal and work related accounts)?,Do you know which of the following is your default DocuSign account membership?,Have you ever been invited to a DocuSign account not owned by you?,Which email do you most typically send documents with DocuSign?,Which email do you most typically send documents with DocuSign? (Text),Briefly explain why you send envelopes from multiple accounts?,"As an Admin, have you ever added or removed anyone from a DocuSign account?",As an Admin have you ever shared other users envelopes with yourself or others?,Do you have access to other user's inboxes and envelopes?,"Administrators on your account might be able to access or share your envelopes with others in your account.

Did you already know this?",Have you ever not been able to find an envelope in your DocuSign account that you had received via email?,Have you ever had envelopes land in the wrong DocuSign account?,"Assuming you had multiple DocuSign account memberships, how would you like them to show up in DocuSign?"
,100,True,,,,,,,,,,,,,,,,,,,,,,
,100,True,,,No,No,,,,,,,,,,,,,,,,,,
MOPS,53,False,,,Yes,Yes,,,,,,2-3,,,,,,Yes,Yes,Yes,,,,
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,Accounting and Tax,,"Yes, I own my own business",Yes,Yes,4-5,Work,No,Personal,,,No,Not Sure,Yes,Yes,No,Yes,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com),multiple emails (how many different email addresses do you use?)",2,No,Yes,"Real Estate (Agents, etc.)",,No,No,,,,,,,,Yes,Yes,,Yes,Yes,Yes,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Not Sure,Yes,"Real Estate (Agents, etc.)",,No,No,,,,,,,,Yes,Yes,,Yes,Yes,Not sure,No opinion
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,"Healthcare (Healthcare Providers, Health Plans, etc.)",,No,No,,2-3,Work,Not Sure,Work,,,Yes,Yes,,Yes,Yes,Yes,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com),multiple emails (how many different email addresses do you use?)",2,Not Sure,No,Other (please specify):,HR / Office Manager / Admin,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com)",,Not Sure,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,,,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
